村志代码 Gazetteer Code,村志书名 Gazetteer Title,Is the data available?,Start Year,End Year,Data,Category,Division1,Division2,Division3,Division4,Subdivision
0001,太平店村志,No,n/a,n/a,n/a,入伍 Military Enlistment,,,,,
0001,太平店村志,No,n/a,n/a,n/a,村民纠纷 Number of Civil Mediations,,,,,
0001,太平店村志,No,n/a,n/a,n/a,刑事案件 Number of Reported Crimes,,,,,
0001,太平店村志,No,n/a,n/a,n/a,共产党员 CCP Membership,男 Male,,,,
0001,太平店村志,No,n/a,n/a,n/a,共产党员 CCP Membership,女 Female,,,,
0001,太平店村志,No,n/a,n/a,n/a,共产党员 CCP Membership,总 Total,,,,
0001,太平店村志,No,n/a,n/a,n/a,共产党员 CCP Membership,少数民族 Ethnic Minorities,,,,
0001,太平店村志,No,n/a,n/a,n/a,新党员 New CCP Membership,男 Male,,,,
0001,太平店村志,No,n/a,n/a,n/a,新党员 New CCP Membership,女 Female,,,,
0001,太平店村志,No,n/a,n/a,n/a,新党员 New CCP Membership,总 Total,,,,
0001,太平店村志,No,n/a,n/a,n/a,新党员 New CCP Membership,少数民族 Ethnic Minorities,,,,
0001,太平店村志,No,n/a,n/a,n/a,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,,,
0001,太平店村志,No,n/a,n/a,n/a,阶级成分 Class Status,,地主 Landlord,,,
0001,太平店村志,No,n/a,n/a,n/a,阶级成分 Class Status,,富农 Rich Peasant,,,
0001,太平店村志,No,n/a,n/a,n/a,阶级成分 Class Status,,中农 Middle Peasant,,,
0002,叶店村志,Yes,1949,2007,46,入伍 Military Enlistment,,,,,
0002,叶店村志,No,n/a,n/a,n/a,村民纠纷 Number of Civil Mediations,,,,,
0002,叶店村志,No,n/a,n/a,n/a,刑事案件 Number of Reported Crimes,,,,,
0002,叶店村志,No,n/a,n/a,n/a,共产党员 CCP Membership,少数民族 Ethnic Minorities,,,,
0002,叶店村志,No,n/a,n/a,n/a,共产党员 CCP Membership,男 Male,,,,
0002,叶店村志,No,n/a,n/a,n/a,共产党员 CCP Membership,女 Female,,,,
0002,叶店村志,No,n/a,n/a,n/a,共产党员 CCP Membership,总 Total,,,,
0002,叶店村志,No,n/a,n/a,n/a,新党员 New CCP Membership,男 Male,,,,
0002,叶店村志,No,n/a,n/a,n/a,新党员 New CCP Membership,女 Female,,,,
0002,叶店村志,No,n/a,n/a,n/a,新党员 New CCP Membership,总 Total,,,,
0002,叶店村志,No,n/a,n/a,n/a,新党员 New CCP Membership,少数民族 Ethnic Minorities,,,,
0002,叶店村志,No,n/a,n/a,n/a,阶级成分 Class Status,,地主 Landlord,,,
0002,叶店村志,No,n/a,n/a,n/a,阶级成分 Class Status,,富农 Rich Peasant,,,
0002,叶店村志,No,n/a,n/a,n/a,阶级成分 Class Status,,中农 Middle Peasant,,,
0002,叶店村志,No,n/a,n/a,n/a,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,,,
0003,马鞭田村志,Yes,1949,2009,69,入伍 Military Enlistment,,,,,
0003,马鞭田村志,No,n/a,n/a,n/a,村民纠纷 Number of Civil Mediations,,,,,
0003,马鞭田村志,No,n/a,n/a,n/a,刑事案件 Number of Reported Crimes,,,,,
0003,马鞭田村志,Yes,1957,2009,52,共产党员 CCP Membership,男 Male,,,,
0003,马鞭田村志,Yes,1957,2009,5,共产党员 CCP Membership,女 Female,,,,
0003,马鞭田村志,Yes,1957,2009,57,共产党员 CCP Membership,总 Total,,,,
0003,马鞭田村志,Yes,1957,2009,19,共产党员 CCP Membership,少数民族 Ethnic Minorities,,,,
0003,马鞭田村志,No,n/a,n/a,n/a,新党员 New CCP Membership,男 Male,,,,
0003,马鞭田村志,No,n/a,n/a,n/a,新党员 New CCP Membership,女 Female,,,,
0003,马鞭田村志,No,n/a,n/a,n/a,新党员 New CCP Membership,总 Total,,,,
0003,马鞭田村志,No,n/a,n/a,n/a,新党员 New CCP Membership,少数民族 Ethnic Minorities,,,,
0003,马鞭田村志,No,n/a,n/a,n/a,阶级成分 Class Status,,地主 Landlord,,,
0003,马鞭田村志,No,n/a,n/a,n/a,阶级成分 Class Status,,富农 Rich Peasant,,,
0003,马鞭田村志,No,n/a,n/a,n/a,阶级成分 Class Status,,中农 Middle Peasant,,,
0003,马鞭田村志,No,n/a,n/a,n/a,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,,,
0004,万秀村志,No,n/a,n/a,n/a,入伍 Military Enlistment,,,,,
0004,万秀村志,No,n/a,n/a,n/a,村民纠纷 Number of Civil Mediations,,,,,
0004,万秀村志,No,n/a,n/a,n/a,刑事案件 Number of Reported Crimes,,,,,
0004,万秀村志,No,n/a,n/a,n/a,共产党员 CCP Membership,男 Male,,,,
0004,万秀村志,No,n/a,n/a,n/a,共产党员 CCP Membership,女 Female,,,,
0004,万秀村志,No,n/a,n/a,n/a,共产党员 CCP Membership,总 Total,,,,
0004,万秀村志,No,n/a,n/a,n/a,共产党员 CCP Membership,少数民族 Ethnic Minorities,,,,
0004,万秀村志,No,n/a,n/a,n/a,新党员 New CCP Membership,男 Male,,,,
0004,万秀村志,No,n/a,n/a,n/a,新党员 New CCP Membership,女 Female,,,,
0004,万秀村志,No,n/a,n/a,n/a,新党员 New CCP Membership,总 Total,,,,
0004,万秀村志,No,n/a,n/a,n/a,新党员 New CCP Membership,少数民族 Ethnic Minorities,,,,
0004,万秀村志,No,n/a,n/a,n/a,阶级成分 Class Status,,地主 Landlord,,,
0004,万秀村志,No,n/a,n/a,n/a,阶级成分 Class Status,,富农 Rich Peasant,,,
0004,万秀村志,No,n/a,n/a,n/a,阶级成分 Class Status,,中农 Middle Peasant,,,
0004,万秀村志,No,n/a,n/a,n/a,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,,,
0005,光淀村志,No,n/a,n/a,n/a,入伍 Military Enlistment,,,,,
