村志代码 Gazetteer Code,村志书名 Gazetteer Title,Category,Is the data available?,Start Year,End Year,Data
0001,太平店村志,总产值 (万元) Gross Output Value (10K yuan),No,n/a,n/a,n/a
0001,太平店村志,集体经济收入 (元) Collective Economic Income (yuan),No,n/a,n/a,n/a
0001,太平店村志,集体经济收入 (万元) Collective Economic Income (10K yuan),No,n/a,n/a,n/a
0001,太平店村志,粮食总产量 (万斤) Total Grain Output (10K pounds),No,n/a,n/a,n/a
0001,太平店村志,粮食总产量 (万吨) Total Grain Output (10K tons),No,n/a,n/a,n/a
0001,太平店村志,生活用电量 - 全村 (度) Electricity Consumption - village (kilowatt-hours),No,n/a,n/a,n/a
0001,太平店村志,电价 (元每度) Electricity Price - General (yuan per kilowatt-hour),No,n/a,n/a,n/a
0001,太平店村志,电价 - 生活用电 (元每度) Electricity Price - Domestic (yuan per kilowatt-hour),No,n/a,n/a,n/a
0001,太平店村志,电价 - 农业用电 (元每度) Electricity Price - Agricultural (yuan per kilowatt-hour),No,n/a,n/a,n/a
0001,太平店村志,电价 - 工业用电 (元每度) Electricity Price - Industrial (yuan per kilowatt-hour),No,n/a,n/a,n/a
0001,太平店村志,水价 (元每立方米) Water Price (yuan per cubic meter),No,n/a,n/a,n/a
0001,太平店村志,人均收入 (元) Per Capita Income (yuan),No,n/a,n/a,n/a
0001,太平店村志,人均居住面积 (平方米) Per Capita Living Space (square meters),No,n/a,n/a,n/a
0001,太平店村志,耕地面积 (亩) Cultivated Area (mu),No,n/a,n/a,n/a
0001,太平店村志,粮食总产量 (吨) Total Grain Output (tons),No,n/a,n/a,n/a
0001,太平店村志,耕地面积 (公顷) Cultivated Area (hectares),No,n/a,n/a,n/a
0001,太平店村志,生活用电量 - 每人 (度) Electricity Consumption - per person (kilowatt hours),No,n/a,n/a,n/a
0001,太平店村志,生活用电量 - 每户 (度) Electricity Consumption - per household (kilowatt hours),No,n/a,n/a,n/a
0001,太平店村志,工业用电量 Industrial Electricity Consumption,No,n/a,n/a,n/a
0001,太平店村志,农业用电量 Agricultural Electricity Consumption,No,n/a,n/a,n/a
0002,叶店村志,总产值 (万元) Gross Output Value (10K yuan),No,n/a,n/a,n/a
0002,叶店村志,集体经济收入 (元) Collective Economic Income (yuan),No,n/a,n/a,n/a
0002,叶店村志,集体经济收入 (万元) Collective Economic Income (10K yuan),No,n/a,n/a,n/a
0002,叶店村志,耕地面积 (亩) Cultivated Area (mu),No,n/a,n/a,n/a
0002,叶店村志,耕地面积 (公顷) Cultivated Area (hectares),No,n/a,n/a,n/a
0002,叶店村志,粮食总产量 (万斤) Total Grain Output (10K pounds),No,n/a,n/a,n/a
0002,叶店村志,粮食总产量 (吨) Total Grain Output (tons),No,n/a,n/a,n/a
0002,叶店村志,粮食总产量 (万吨) Total Grain Output (10K tons),No,n/a,n/a,n/a
0002,叶店村志,生活用电量 - 全村 (度) Electricity Consumption - village (kilowatt-hours),No,n/a,n/a,n/a
0002,叶店村志,电价 (元每度) Electricity Price - General (yuan per kilowatt-hour),No,n/a,n/a,n/a
0002,叶店村志,电价 - 生活用电 (元每度) Electricity Price - Domestic (yuan per kilowatt-hour),No,n/a,n/a,n/a
0002,叶店村志,电价 - 农业用电 (元每度) Electricity Price - Agricultural (yuan per kilowatt-hour),No,n/a,n/a,n/a
0002,叶店村志,电价 - 工业用电 (元每度) Electricity Price - Industrial (yuan per kilowatt-hour),No,n/a,n/a,n/a
0002,叶店村志,水价 (元每立方米) Water Price (yuan per cubic meter),No,n/a,n/a,n/a
0002,叶店村志,人均收入 (元) Per Capita Income (yuan),No,n/a,n/a,n/a
0002,叶店村志,人均居住面积 (平方米) Per Capita Living Space (square meters),No,n/a,n/a,n/a
0002,叶店村志,生活用电量 - 每人 (度) Electricity Consumption - per person (kilowatt hours),No,n/a,n/a,n/a
0002,叶店村志,生活用电量 - 每户 (度) Electricity Consumption - per household (kilowatt hours),No,n/a,n/a,n/a
0002,叶店村志,工业用电量 Industrial Electricity Consumption,No,n/a,n/a,n/a
0002,叶店村志,农业用电量 Agricultural Electricity Consumption,No,n/a,n/a,n/a
0003,马鞭田村志,总产值 (万元) Gross Output Value (10K yuan),No,n/a,n/a,n/a
0003,马鞭田村志,集体经济收入 (元) Collective Economic Income (yuan),No,n/a,n/a,n/a
0003,马鞭田村志,集体经济收入 (万元) Collective Economic Income (10K yuan),No,n/a,n/a,n/a
0003,马鞭田村志,耕地面积 (亩) Cultivated Area (mu),No,n/a,n/a,n/a
0003,马鞭田村志,耕地面积 (公顷) Cultivated Area (hectares),No,n/a,n/a,n/a
0003,马鞭田村志,粮食总产量 (万斤) Total Grain Output (10K pounds),No,n/a,n/a,n/a
0003,马鞭田村志,粮食总产量 (吨) Total Grain Output (tons),No,n/a,n/a,n/a
0003,马鞭田村志,粮食总产量 (万吨) Total Grain Output (10K tons),No,n/a,n/a,n/a
